fpr,tpr
0.0,0.0
0.0,0.0029069767441860465
0.0,0.36627906976744184
0.01639344262295082,0.36627906976744184
0.01639344262295082,0.3866279069767442
0.03278688524590164,0.3866279069767442
0.03278688524590164,0.6075581395348837
0.04918032786885246,0.6075581395348837
0.04918032786885246,0.6773255813953488
0.06557377049180328,0.6773255813953488
0.06557377049180328,0.6918604651162791
0.08196721311475409,0.6918604651162791
0.08196721311475409,0.7267441860465116
0.09836065573770492,0.7267441860465116
0.09836065573770492,0.7383720930232558
0.11475409836065574,0.7383720930232558
0.11475409836065574,0.75
0.13114754098360656,0.75
0.13114754098360656,0.7674418604651163
0.14754098360655737,0.7674418604651163
0.14754098360655737,0.7848837209302325
0.16393442622950818,0.7848837209302325
0.16393442622950818,0.8023255813953488
0.19672131147540983,0.8023255813953488
0.19672131147540983,0.8197674418604651
0.21311475409836064,0.8197674418604651
0.21311475409836064,0.8284883720930233
0.2459016393442623,0.8284883720930233
0.2459016393442623,0.8401162790697675
0.26229508196721313,0.8401162790697675
0.26229508196721313,0.8430232558139535
0.2786885245901639,0.8430232558139535
0.2786885245901639,0.8517441860465116
0.29508196721311475,0.8517441860465116
0.29508196721311475,0.8662790697674418
0.32786885245901637,0.8662790697674418
0.32786885245901637,0.8691860465116279
0.3442622950819672,0.8691860465116279
0.3442622950819672,0.872093023255814
0.36065573770491804,0.872093023255814
0.36065573770491804,0.875
0.3770491803278688,0.875
0.3770491803278688,0.8924418604651163
0.39344262295081966,0.8924418604651163
0.39344262295081966,0.8953488372093024
0.4098360655737705,0.8953488372093024
0.4262295081967213,0.8982558139534884
0.4262295081967213,0.9040697674418605
0.4426229508196721,0.9040697674418605
0.4426229508196721,0.9098837209302325
0.45901639344262296,0.9098837209302325
0.45901639344262296,0.9244186046511628
0.47540983606557374,0.9244186046511628
0.47540983606557374,0.9273255813953488
0.4918032786885246,0.9273255813953488
0.4918032786885246,0.938953488372093
0.5081967213114754,0.938953488372093
0.5081967213114754,0.9534883720930233
0.5245901639344263,0.9534883720930233
0.5245901639344263,0.9563953488372093
0.5409836065573771,0.9563953488372093
0.5409836065573771,0.9680232558139535
0.5901639344262295,0.9680232558139535
0.5901639344262295,0.9738372093023255
0.6065573770491803,0.9738372093023255
0.6065573770491803,0.9825581395348837
0.639344262295082,0.9825581395348837
0.639344262295082,0.9854651162790697
0.6557377049180327,0.9854651162790697
0.6557377049180327,0.9912790697674418
0.7377049180327869,0.9912790697674418
0.7377049180327869,0.9941860465116279
0.8688524590163934,0.9941860465116279
0.8688524590163934,1.0
1.0,1.0
